,categoria,numero_de_ventas,porcentajes_ventas,valor,porcentajes_valor
0,Artículos de Regalo,7250,2.53,622345.34,0.25
1,Belleza y Cuidado Personal,17899,6.25,2890639.57,1.14
2,Computadoras,8110,2.83,10357436.607,4.08
3,Electrodomésticos,33034,11.53,33441413.391,13.18
4,Entretenimiento,17352,6.06,30429479.515,11.99
5,Escuela y Educación,1090,0.38,120453.924,0.05
6,Hogar y Decoración,13990,4.88,1918317.327,0.76
7,Libros,814,0.28,33030.335,0.01
8,Moda Hombres,40713,14.22,5163376.218,2.04
9,Moda Mujeres,28334,9.89,7359614.409,2.9
10,Móviles y Tablets,61761,21.57,140398382.339,55.34
11,Niños y Bebés,6492,2.27,891888.367,0.35
12,Otros,26108,9.12,15591322.3,6.15
13,Salud y Deportes,8421,2.94,1122226.1,0.44
14,Supermercado,15024,5.25,3369000.332,1.33
