,estado,ingreso_familiar_promedio
0,AL,73010.4140625
1,AL,73010.4140625
2,AL,73010.4140625
3,AL,73010.4140625
4,AL,73010.4140625
5,AL,73010.4140625
6,AL,73010.4140625
7,AL,73010.4140625
8,AL,73010.4140625
9,AL,73010.4140625
10,AL,77884.7578125
11,AL,77884.7578125
12,AL,77884.7578125
13,AL,77884.7578125
14,AL,77884.7578125
15,AL,77884.7578125
16,AL,77884.7578125
17,AL,77884.7578125
18,AL,77884.7578125
19,AL,77884.7578125
20,AL,42822.75390625
21,AL,42822.75390625
22,AL,42822.75390625
23,AL,42822.75390625
24,AL,42822.75390625
25,AL,42822.75390625
26,AL,42822.75390625
27,AL,42822.75390625
28,AL,42822.75390625
29,AL,42822.75390625
30,AL,59443.98828125
31,AL,59443.98828125
32,AL,59443.98828125
33,AL,59443.98828125
34,AL,59443.98828125
35,AL,59443.98828125
36,AL,59443.98828125
37,AL,59443.98828125
38,AL,59443.98828125
39,AL,59443.98828125
40,AL,63966.12890625
41,AL,63966.12890625
42,AL,63966.12890625
43,AL,63966.12890625
44,AL,63966.12890625
45,AL,63966.12890625
46,AL,63966.12890625
47,AL,63966.12890625
48,AL,63966.12890625
49,AL,63966.12890625
50,AL,44495.453125
51,AL,44495.453125
52,AL,44495.453125
53,AL,44495.453125
54,AL,44495.453125
55,AL,44495.453125
56,AL,44495.453125
57,AL,44495.453125
58,AL,44495.453125
59,AL,44495.453125
60,AL,51857.796875
61,AL,51857.796875
62,AL,51857.796875
63,AL,51857.796875
64,AL,51857.796875
65,AL,51857.796875
66,AL,51857.796875
67,AL,51857.796875
68,AL,51857.796875
69,AL,51857.796875
70,AL,60733.6796875
71,AL,60733.6796875
72,AL,60733.6796875
73,AL,60733.6796875
74,AL,60733.6796875
75,AL,60733.6796875
76,AL,60733.6796875
77,AL,60733.6796875
78,AL,60733.6796875
79,AL,60733.6796875
80,AL,55003.9921875
81,AL,55003.9921875
82,AL,55003.9921875
83,AL,55003.9921875
84,AL,55003.9921875
85,AL,55003.9921875
86,AL,55003.9921875
87,AL,55003.9921875
88,AL,55003.9921875
89,AL,55003.9921875
90,AL,57031.97265625
91,AL,57031.97265625
92,AL,57031.97265625
93,AL,57031.97265625
94,AL,57031.97265625
95,AL,57031.97265625
96,AL,57031.97265625
97,AL,57031.97265625
98,AL,57031.97265625
99,AL,57031.97265625
100,AL,56401.5
101,AL,56401.5
102,AL,56401.5
103,AL,56401.5
104,AL,56401.5
105,AL,56401.5
106,AL,56401.5
107,AL,56401.5
108,AL,56401.5
109,AL,56401.5
110,AL,48013.359375
111,AL,48013.359375
112,AL,48013.359375
113,AL,48013.359375
114,AL,48013.359375
115,AL,48013.359375
116,AL,48013.359375
117,AL,48013.359375
118,AL,48013.359375
119,AL,48013.359375
120,AL,54376.6015625
121,AL,54376.6015625
122,AL,54376.6015625
123,AL,54376.6015625
124,AL,54376.6015625
125,AL,54376.6015625
126,AL,54376.6015625
127,AL,54376.6015625
128,AL,54376.6015625
129,AL,54376.6015625
130,AL,51316.66015625
131,AL,51316.66015625
132,AL,51316.66015625
133,AL,51316.66015625
134,AL,51316.66015625
135,AL,51316.66015625
136,AL,51316.66015625
137,AL,51316.66015625
138,AL,51316.66015625
139,AL,51316.66015625
140,AL,58880.2578125
141,AL,58880.2578125
142,AL,58880.2578125
143,AL,58880.2578125
144,AL,58880.2578125
145,AL,58880.2578125
146,AL,58880.2578125
147,AL,58880.2578125
148,AL,58880.2578125
149,AL,58880.2578125
150,AL,69363.125
151,AL,69363.125
152,AL,69363.125
153,AL,69363.125
154,AL,69363.125
155,AL,69363.125
156,AL,69363.125
157,AL,69363.125
158,AL,69363.125
159,AL,69363.125
160,AL,62369.4140625
161,AL,62369.4140625
162,AL,62369.4140625
163,AL,62369.4140625
164,AL,62369.4140625
165,AL,62369.4140625
166,AL,62369.4140625
167,AL,62369.4140625
168,AL,62369.4140625
169,AL,62369.4140625
170,AL,49227.06640625
171,AL,49227.06640625
172,AL,49227.06640625
173,AL,49227.06640625
174,AL,49227.06640625
175,AL,49227.06640625
176,AL,49227.06640625
177,AL,49227.06640625
178,AL,49227.06640625
179,AL,49227.06640625
180,AL,49986.91796875
181,AL,49986.91796875
182,AL,49986.91796875
183,AL,49986.91796875
184,AL,49986.91796875
185,AL,49986.91796875
186,AL,49986.91796875
187,AL,49986.91796875
188,AL,49986.91796875
189,AL,49986.91796875
190,AL,55480.4375
191,AL,55480.4375
192,AL,55480.4375
193,AL,55480.4375
194,AL,55480.4375
195,AL,55480.4375
196,AL,55480.4375
197,AL,55480.4375
198,AL,55480.4375
199,AL,55480.4375
200,AL,59327.95703125
201,AL,59327.95703125
202,AL,59327.95703125
203,AL,59327.95703125
204,AL,59327.95703125
205,AL,59327.95703125
206,AL,59327.95703125
207,AL,59327.95703125
208,AL,59327.95703125
209,AL,59327.95703125
210,AL,58005.40234375
211,AL,58005.40234375
212,AL,58005.40234375
213,AL,58005.40234375
214,AL,58005.40234375
215,AL,58005.40234375
216,AL,58005.40234375
217,AL,58005.40234375
218,AL,58005.40234375
219,AL,58005.40234375
220,AL,58943.921875
221,AL,58943.921875
222,AL,58943.921875
223,AL,58943.921875
224,AL,58943.921875
225,AL,58943.921875
226,AL,58943.921875
227,AL,58943.921875
228,AL,58943.921875
229,AL,58943.921875
230,AL,46549.10546875
231,AL,46549.10546875
232,AL,46549.10546875
233,AL,46549.10546875
234,AL,46549.10546875
235,AL,46549.10546875
236,AL,46549.10546875
237,AL,46549.10546875
238,AL,46549.10546875
239,AL,46549.10546875
240,AL,50571.18359375
241,AL,50571.18359375
242,AL,50571.18359375
243,AL,50571.18359375
244,AL,50571.18359375
245,AL,50571.18359375
246,AL,50571.18359375
247,AL,50571.18359375
248,AL,50571.18359375
249,AL,50571.18359375
250,AL,74491.09375
251,AL,74491.09375
252,AL,74491.09375
253,AL,74491.09375
254,AL,74491.09375
255,AL,74491.09375
256,AL,74491.09375
257,AL,74491.09375
258,AL,74491.09375
259,AL,74491.09375
260,AL,50277.51171875
261,AL,50277.51171875
262,AL,50277.51171875
263,AL,50277.51171875
264,AL,50277.51171875
265,AL,50277.51171875
266,AL,50277.51171875
267,AL,50277.51171875
268,AL,50277.51171875
269,AL,50277.51171875
270,AL,58943.921875
271,AL,58943.921875
272,AL,58943.921875
273,AL,58943.921875
274,AL,58943.921875
275,AL,58943.921875
276,AL,58943.921875
277,AL,58943.921875
278,AL,58943.921875
279,AL,58943.921875
280,AL,52757.296875
281,AL,52757.296875
282,AL,52757.296875
283,AL,52757.296875
284,AL,52757.296875
285,AL,52757.296875
286,AL,52757.296875
287,AL,52757.296875
288,AL,52757.296875
289,AL,52757.296875
290,AL,52598.13671875
291,AL,52598.13671875
292,AL,52598.13671875
293,AL,52598.13671875
294,AL,52598.13671875
295,AL,52598.13671875
296,AL,52598.13671875
297,AL,52598.13671875
