,estado,estado_completo,valor_ventas,ingreso_familiar_promedio
0,AK,Alaska,2165456.268,81242.83
1,AL,Alabama,4168818.463,58099.87
2,AR,Arkansas,4020160.11,55025.57
3,AZ,Arizona,3367133.192,59661.88
4,CA,California,15302657.014,82922.17
5,CO,Colorado,4078788.519,75158.81
6,CT,Connecticut,2092401.715,103228.23
7,DC,District of Columbia,1464539.144,116607.39
8,DE,Delaware,559131.97,81198.66
9,FL,Florida,9271473.73,64294.18
10,GA,Georgia,5579073.45,59841.34
11,HI,Hawaii,673039.217,99596.99
12,IA,Iowa,6881399.762,74522.31
13,ID,Idaho,1852441.053,63504.2
14,IL,Illinois,10025887.087,73194.43
15,IN,Indiana,6713664.727,70347.77
16,KS,Kansas,3586328.547,68094.71
17,KY,Kentucky,7563667.772,58144.3
18,LA,Louisiana,4050653.6149999998,58620.87
19,MA,Massachusetts,4621955.8,100532.21
20,MD,Maryland,3432890.102,96138.13
21,ME,Maine,3031069.712,69733.94
22,MI,Michigan,5661866.079,66016.92
23,MN,Minnesota,5894336.267,78767.61
24,MO,Missouri,8563251.493,61569.83
25,MS,Mississippi,6770259.098,52281.52
26,MT,Montana,3482960.478,66608.08
27,NC,North Carolina,6834597.554,62694.32
28,ND,North Dakota,2596553.721,82881.29
29,NE,Nebraska,3089249.416,71279.64
30,NH,New Hampshire,1483680.395,89199.25
31,NJ,New Jersey,5428739.444,104246.46
32,NM,New Mexico,2362431.934,57366.03
33,NV,Nevada,1484899.23,74772.63
34,NY,New York,12391944.633,80175.49
35,OH,Ohio,8856352.627,70903.53
36,OK,Oklahoma,4611792.808,61805.01
37,OR,Oregon,2697518.666,68232.73
38,PA,Pennsylvania,11101215.557,73501.25
39,RI,Rhode Island,346253.085,101153.25
40,SC,South Carolina,2558229.71,60021.24
41,SD,South Dakota,2103993.789,69327.78
42,TN,Tennessee,4882860.753,59715.51
43,TX,Texas,16724913.375,66050.29
44,UT,Utah,2158315.472,75671.13
45,VA,Virginia,8768699.063,76830.19
46,VT,Vermont,2928875.661,77969.39
47,WA,Washington,4039408.436,74820.34
48,WI,Wisconsin,4526147.864,74495.82
49,WV,West Virginia,5723067.131,58596.52
50,WY,Wyoming,1133881.366,78918.06
